date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:29	63384/63384	--FM--	200	added ('OK')	text/html		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_Arabic.html	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_Arabic.html	(from )
15:00:29	267383/267383	--FM--	200	added ('OK')	text/html		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones.html	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones.html	(from )
15:00:30	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Dec%202021%2011:00:29%20GMT	https://kb.dubaided.gov.ae/robots.txt		(from )
15:00:30	21917/21917	U-----	200	untouched ('OK')	text/html	etag:%22015f35cdf9dd51:0%22	https://kb.dubaided.gov.ae/	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/index.html	(from )
15:00:30	41649/41649	U-----	200	untouched ('OK')	text/html	etag:%2275e9391b05ad71:0%22	https://kb.dubaided.gov.ae/ded/DED%20book1.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/ded/DED%20book1.html	(from )
15:00:30	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Dec%202021%2011:00:29%20GMT	https://kb.dubaided.gov.ae/main11_files/editdata.mso	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/main11_files/editdata.3.delayed	(from https://kb.dubaided.gov.ae/)
15:00:30	239/239	U-----	200	untouched ('')	text/xml	etag:%22f84bc55cdf9dd51:0%22	https://kb.dubaided.gov.ae/main11_files/filelist.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/main11_files/filelist.xml	(from https://kb.dubaided.gov.ae/)
15:00:30	1548/1548	U-----	200	untouched ('')	application/x-msmetafile	etag:%22d87bc05cdf9dd51:0%22	https://kb.dubaided.gov.ae/main11_files/preview.wmf	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/main11_files/preview.wmf	(from https://kb.dubaided.gov.ae/)
15:00:30	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Dec%202021%2011:00:30%20GMT	https://kb.dubaided.gov.ae/Electrical%20Notice%20Board.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/Electrical%20Notice%20Board.6.delayed	(from https://kb.dubaided.gov.ae/)
15:00:30	314/314	U-----	200	untouched ('')	text/xml	etag:%221fdec25cdf9dd51:0%22	https://kb.dubaided.gov.ae/main11_files/colorschememapping.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/main11_files/colorschememapping.xml	(from https://kb.dubaided.gov.ae/)
