date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:21	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Dec%202021%2010:45:21%20GMT	https://kb.dubaided.gov.ae/robots.txt		(from )
14:45:21	21917/21917	---M-Z	200	added ('OK')	text/html	etag:%22015f35cdf9dd51:0%22	https://kb.dubaided.gov.ae/	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/index.html	(from )
14:45:21	239/239	---M-Z	200	added ('OK')	text/xml	etag:%22f84bc55cdf9dd51:0%22	https://kb.dubaided.gov.ae/main11_files/filelist.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/main11_files/filelist.xml	(from https://kb.dubaided.gov.ae/)
14:45:22	1548/1548	---M--	200	added ('OK')	application/x-msmetafile	etag:%22d87bc05cdf9dd51:0%22	https://kb.dubaided.gov.ae/main11_files/preview.wmf	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/main11_files/preview.wmf	(from https://kb.dubaided.gov.ae/)
14:45:22	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Dec%202021%2010:45:22%20GMT	https://kb.dubaided.gov.ae/main11_files/editdata.mso	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/main11_files/editdata.2.delayed	(from https://kb.dubaided.gov.ae/)
14:45:22	3138/3138	---M--	200	added ('OK')	application/vnd.ms-officetheme	etag:%221fdec25cdf9dd51:0%22	https://kb.dubaided.gov.ae/main11_files/themedata.thmx	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/main11_files/themedata.thmx	(from https://kb.dubaided.gov.ae/)
14:45:23	314/314	---M-Z	200	added ('OK')	text/xml	etag:%221fdec25cdf9dd51:0%22	https://kb.dubaided.gov.ae/main11_files/colorschememapping.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/main11_files/colorschememapping.xml	(from https://kb.dubaided.gov.ae/)
14:45:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Dec%202021%2010:45:23%20GMT	https://kb.dubaided.gov.ae/Electrical%20Notice%20Board.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/Electrical%20Notice%20Board.5.delayed	(from https://kb.dubaided.gov.ae/)
14:45:23	52424/52424	---M-Z	200	added ('OK')	text/html	etag:%2285f787fcfaadd71:0%22	https://kb.dubaided.gov.ae/kb/left11.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/left11.html	(from https://kb.dubaided.gov.ae/)
14:45:23	40782/40782	---M-Z	200	added ('OK')	text/html	etag:%2206951ff3314d41:0%22	https://kb.dubaided.gov.ae/M.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/M.html	(from https://kb.dubaided.gov.ae/)
14:45:24	39941/39941	---M-Z	200	added ('OK')	text/html	etag:%2206e44433414d41:0%22	https://kb.dubaided.gov.ae/kb/bottom.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/bottom.html	(from https://kb.dubaided.gov.ae/)
14:45:24	53878/53878	---M-Z	200	added ('OK')	text/html	etag:%2233e3d627fbadd71:0%22	https://kb.dubaided.gov.ae/kb/right11.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/right11.html	(from https://kb.dubaided.gov.ae/)
14:45:24	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Dec%202021%2010:45:24%20GMT	https://kb.dubaided.gov.ae/Search.ClientControls.js	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/Search.ClientControls.a.delayed	(from https://kb.dubaided.gov.ae/)
14:45:25	272/272	---M-Z	200	added ('OK')	text/xml	etag:%22731e88fcfaadd71:0%22	https://kb.dubaided.gov.ae/kb/left11_files/filelist.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/left11_files/filelist.xml	(from https://kb.dubaided.gov.ae/kb/left11.htm)
14:45:25	278/278	---M-Z	200	added ('OK')	text/xml	etag:%22d9a684fcfaadd71:0%22	https://kb.dubaided.gov.ae/kb/left11_files/item0007.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/left11_files/item0007.xml	(from https://kb.dubaided.gov.ae/kb/left11.htm)
14:45:25	3086/3086	---M--	200	added ('OK')	application/vnd.ms-officetheme	etag:%22c3cd84fcfaadd71:0%22	https://kb.dubaided.gov.ae/kb/left11_files/themedata.thmx	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/left11_files/themedata.thmx	(from https://kb.dubaided.gov.ae/kb/left11.htm)
14:45:26	314/314	---M-Z	200	added ('OK')	text/xml	etag:%22c39886fcfaadd71:0%22	https://kb.dubaided.gov.ae/kb/left11_files/colorschememapping.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/left11_files/colorschememapping.xml	(from https://kb.dubaided.gov.ae/kb/left11.htm)
14:45:26	50597/50597	---M-Z	200	added ('OK')	text/html	etag:%22629c76f053bed71:0%22	https://kb.dubaided.gov.ae/consumer%20protection/interface%20E.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/consumer%20protection/interface%20E.html	(from https://kb.dubaided.gov.ae/kb/left11.htm)
